Id,Label
bigotryisnotok,bigotryisnotok
pure,pure
policies,policies
politics,politics
endracism,endracism
wisewords,wisewords
moderate,moderate
individualism,individualism
nopink,nopink
shoes,shoes
fitnessmotivation,fitnessmotivation
wallsonfire,wallsonfire
billboard,billboard
cityscape,cityscape
zaragoza,zaragoza
shopwindow,shopwindow
monochrome,monochrome
artbrut,artbrut
nationalism,nationalism
greed,greed
stair,stair
violence,violence
loveyourself,loveyourself
lovequotes,lovequotes
quotesdaily,quotesdaily
quotes,quotes
lifequotes,lifequotes
gayboy,gayboy
gaypride,gaypride
gayteen,gayteen
pinterest,pinterest
fuck,fuck
shirt,shirt
trans,trans
quiet,quiet
bisexual,bisexual
transgender,transgender
politicians,politicians
rhetorical,rhetorical
refugees,refugees
illegalimmigrants,illegalimmigrants
walls,walls
fakeboarders,fakeboarders
culture,culture
feminine,feminine
her,her
queer,queer
womensupportwomen,womensupportwomen
womensmarch,womensmarch
empowerment,empowerment
mother,mother
daughter,daughter
wife,wife
sister,sister
poster,poster
painting,painting
tweet,tweet
retweet,retweet
biased,biased
prejudice,prejudice
gaymen,gaymen
gayfolk,gayfolk
gayveterans,gayveterans
vetsresistsquadron,vetsresistsquadron
boomers,boomers
religiousindoctrination,religiousindoctrination
politicalindoctrination,politicalindoctrination
nodino,nodino
voteblue,voteblue
voterealdemocrats,voterealdemocrats
democrats,democrats
hearts,hearts
sexuality,sexuality
unique,unique
facts,facts
gopclowns,gopclowns
fakepotus,fakepotus
stolenland,stolenland
500brokentreaties,500brokentreaties
biaslaws,biaslaws
whiteprivilege,whiteprivilege
orangeisthenewstupid,orangeisthenewstupid
trumplies,trumplies
impeachtheclown,impeachtheclown
card,card
champions,champions
cristiano,cristiano
emre,emre
juventus,juventus
league,league
ronaldo,ronaldo
dear,dear
amjoy,amjoy
blackwomen,blackwomen
stop,stop
fake,fake
racial,racial
sundaymorning,sundaymorning
strongertogether,strongertogether
digitalart,digitalart
tree,tree
ecology,ecology
earthmusicandecology,earthmusicandecology
trending,trending
sky,sky
blogger,blogger
cannabiscup,cannabiscup
cannabisart,cannabisart
sunday,sunday
electoralcollege,electoralcollege
domesticterrorism,domesticterrorism
nuclearplaybook,nuclearplaybook
nashville,nashville
mayor,mayor
twilightzone,twilightzone
trainwreck,trainwreck
penis,penis
conservative,conservative
christian,christian
rapist,rapist
trump,trump
republicans,republicans
homophobic,homophobic
campaign,campaign
goldengirls,goldengirls
gays,gays
purse,purse
shopping,shopping
hairbrush,hairbrush
roar,roar
tiger,tiger
rabbit,rabbit
rabbits,rabbits
think,think
human,human
seduce,seduce
bunny,bunny
bunnygirl,bunnygirl
furry,furry
dailydrawing,dailydrawing
illustration,illustration
watercolor,watercolor
ink,ink
animals,animals
sketch,sketch
doodle,doodle
arte,arte
disegno,disegno
bunnies,bunnies
mixedmedia,mixedmedia
scissors,scissors
haircut,haircut
gold,gold
mascara,mascara
needles,needles
rosegold,rosegold
eyes,eyes
lashes,lashes
colourbias,colourbias
colorbias,colorbias
musica,musica
vma2017,vma2017
vma,vma
mondo,mondo
discrimination,discrimination
religions,religions
stright,stright
suicide,suicide
depression,depression
razzismo,razzismo
sessismo,sessismo
discriminazione,discriminazione
religioni,religioni
razza,razza
colore,colore
credo,credo
etero,etero
suicidio,suicidio
depressione,depressione
injustice,injustice
segregation,segregation
men,men
god,god
division,division
help,help
friendship,friendship
brown,brown
solution,solution
period,period
gift,gift
drawing,drawing
sakurapencil,sakurapencil
stem,stem
racialbias,racialbias
valentines,valentines
orangeitup,orangeitup
endgbv,endgbv
prof,prof
shirts,shirts
matching,matching
shades,shades
focus,focus
equalpay,equalpay
un,un
climatechange,climatechange
womeninmusic,womeninmusic
genderequity,genderequity
blackmagic,blackmagic
dailymail,dailymail
insulting,insulting
young,young
lipstick,lipstick
blaming,blaming
toofunny,toofunny
tag,tag
hoodie,hoodie
clothing,clothing
keepwomenbusy,keepwomenbusy
thetruth,thetruth
instasize,instasize
sign,sign
spraycan,spraycan
generation,generation
keys,keys
talksport,talksport
skysports,skysports
sianmassey,sianmassey
fem2,fem2
dem2,dem2
topprog,topprog
taz,taz
roth,roth
petro,petro
cdnpoli,cdnpoli
china,china
cnooc,cnooc
broads,broads
sticker,sticker
today,today
text,text
member,member
national,national
cia,cia
machismo,machismo
male,male
good,good
penises,penises
ncs,ncs
inventor,inventor
design,design
now,now
toronto,toronto
movies,movies
get,get
way,way
commercial,commercial
travel,travel
agency,agency
hatred,hatred
towards,towards
men,men
order,order
sell,sell
single,single
childless,childless
militant,militant
feminist,feminist
data,data
male,male
truth,truth
pay,pay
gap,gap
wait,wait
tell,tell
charge,charge
would,would
make,make
good,good
woman,woman
serve,serve
less,less
prison,prison
time,time
body,body
positivity,positivity
top,top
abuse,abuse
liberal,liberal
school,school
rape,rape
two,two
female,female
believe,believe
twice,twice
likely,likely
jail,jail
long,long
commit,commit
put,put
test,test
overweight,overweight
fight,fight
crime,crime
even,even
bear,bear
yet,yet
always,always
underlie,underlie
threat,threat
violence,violence
take,take
disrespect,disrespect
far,far
jordan,jordan
give,give
marriage,marriage
ca,ca
much,much
forward,forward
girl,girl
sic,sic
conversation,conversation
lots,lots
refuse,refuse
join,join
military,military
grow,grow
past,past
love,love
stop,stop
red,red
pill,pill
modern,modern
feminism,feminism
want,want
bos,bos
fascism,fascism
racism,racism
flag,flag
protest,protest
green,green
day,day
leader,leader
new,new
herald,herald
run,run
week,week
aftermath,aftermath
since,since
bell,bell
media,media
decision,decision
terminate,terminate
contract,contract
page,page
spread,spread
globe,globe
mail,mail
missive,missive
business,business
politics,politics
however,however
separate,separate
statement,statement
president,president
say,say
leave,leave
pending,pending
great,great
building,building
become,become
permanent,permanent
outcome,outcome
workplace,workplace
review,review
could,could
use,use
especially,especially
wade,wade
vice,vice
go,go
support,support
personally,personally
trust,trust
news,news
unless,unless
mouth,mouth
end,end
someone,someone
career,career
hair,hair
grey,grey
ridiculous,ridiculous
evident,evident
within,within
well,well
senior,senior
discrimination,discrimination
although,although
intersect,intersect
like,like
wrong,wrong
government,government
f,f
k,k
enough,enough
wish,wish
everyone,everyone
people,people
achievement,achievement
everything,everything
else,else
true,true
bad,bad
as,as
teacher,teacher
try,try
bully,bully
woke,woke
student,student
fake,fake
gender,gender
wage,wage
via,via
bikini,bikini
drive,drive
alone,alone
turn,turn
house,house
senate,senate
white,white
blue,blue
also,also
shed,shed
light,light
lens,lens
article,article
radio,radio
change,change
jersey,jersey
buy,buy
balance,balance
last,last
made,made
breakthrough,breakthrough
still,still
base,base
skin,skin
color,color
admit,admit
certain,certain
initial,initial
excitement,excitement
micro,micro
second,second
place,place
astute,astute
team,team
instead,instead
inherent,inherent
laziness,laziness
human,human
search,search
alive,alive
w,w
choosing,choosing
black,black
forget,forget
sexual,sexual
assault,assault
forty,forty
sixty,sixty
percent,percent
report,report
subject,subject
coercive,coercive
contact,contact
age,age
powerful,powerful
speech,speech
see,see
evidence,evidence
movement,movement
part,part
structure,structure
suspect,suspect
need,need
brought,brought
party,party
rural,rural
seeing,seeing
land,land
torn,torn
tiny,tiny
reading,reading
hostile,hostile
benevolent,benevolent
big,big
cry,cry
paint,paint
research,research
u,u
simply,simply
expendable,expendable
bias,bias
systemic,systemic
economic,economic
attention,attention
maker,maker
enable,enable
motivation,motivation
study,study
race,race
physic,physic
stem,stem
primarily,primarily
field,field
tore,tore
break,break
one,one
boundary,boundary
fellow,fellow
feel,feel
live,live
breathe,breathe
trompe,trompe
l,l
pink,pink
inequality,inequality
irrespective,irrespective
pertaining,pertaining
sex,sex
unlawful,unlawful
sad,sad
prevalent,prevalent
planet,planet
fear,fear
power,power
benefit,benefit
destructive,destructive
force,force
choose,choose
strain,strain
shut,shut
control,control
question,question
hello,hello
humanity,humanity
totally,totally
hate,hate
regardless,regardless
clown,clown
thats,thats
fall,fall
line,line
exactly,exactly
solution,solution
pretend,pretend
doesnt,doesnt
exist,exist
common,common
nothing,nothing
response,response
racist,racist
scum,scum
capacity,capacity
cause,cause
keep,keep
voting,voting
think,think
happening,happening
employ,employ
dont,dont
whatever,whatever
mentality,mentality
come,come
fact,fact
hard,hard
continue,continue
cult,cult
republican,republican
dumb,dumb
vote,vote
matter,matter
die,die
typical,typical
yeah,yeah
ar,ar
sick,sick
culture,culture
society,society
already,already
know,know
content,content
number,number
assaulter,assaulter
rest,rest
ask,ask
anybody,anybody
high,high
court,court
stupid,stupid
speak,speak
seem,seem
b,b
specially,specially
brown,brown
experience,experience
consider,consider
select,select
c,c
apparently,apparently
instill,instill
lack,lack
reg,reg
mess,mess
hot,hot
slow,slow
episode,episode
unavoidable,unavoidable
non,non
story,story
wear,wear
tie,tie
talk,talk
watching,watching
ground,ground
tackle,tackle
ago,ago
today,today
learn,learn
femininity,femininity
series,series
treat,treat
really,really
shop,shop
roar,roar
difficult,difficult
rendering,rendering
quick,quick
daily,daily
illustration,illustration
cut,cut
impulse,impulse
obligation,obligation
needles,needles
point,point
apply,apply
carefully,carefully
comedienne,comedienne
boycott,boycott
agree,agree
sore,sore
meeting,meeting
parliament,parliament
taboo,taboo
offensive,offensive
hesitant,hesitant
acceptable,acceptable
happy,happy
post,post
real,real
involve,involve
condemnation,condemnation
face,face
double,double
community,community
us,us
read,read
must,must
recognize,recognize
discussion,discussion
climate,climate
anyone,anyone
many,many
never,never
amaze,amaze
disgraceful,disgraceful
life,life
candidate,candidate
aware,aware
banning,banning
problem,problem
issue,issue
show,show
segregation,segregation
sign,sign
tag,tag
hoodie,hoodie
find,find
work,work
wow,wow
movie,movie
problematic,problematic
forgot,forgot
lot,lot
do,do
dear,dear
praise,praise
correct,correct
comment,comment
defeat,defeat
unbearable,unbearable
industry,industry
date,date
eventually,eventually
old,old
photo,photo
taken,taken
rust,rust
belt,belt
market,market
national,national
club,club
open,open
bravo,bravo
hey,hey
ready,ready
founder,founder
critical,critical
piece,piece
renewable,renewable
impact,impact
man,man
sure,sure
title,title
